id,name
277,exosyphen studios
278,Youdagames
279,Terry Cavanagh
280,Carpe Fulgur LLC
281,Grendel Games
282,Blind Mind Studios
283,StarWraith 3D Games LLC
284,Eyebrow Interactive
285,Tomkorp Computer Solutions Inc.
286,Clara Lehenaff
287,inner seas
288,Slitherine Ltd.
289,BlueGiant Interactive
290,Red Redemption
291,Wadjet Eye Games
292,Relentless Software
293,11 bit studios
294,Coffee Stain Publishing
295,Coffee Stain Studios
296,Streum On Studio
297,NinjaBee
298,NinjaBee.com
299,Next Dimension Game Adventures Ltd.
300,Dark Energy Digital Ltd.
301,"""Geoff Zag Keene"""
302,Extend Studio
303,ORiGO GAMES
304,Copenhagen Game Productions
305,WXP Games
306,Zachtronics
307,Puppygames
308,Stout Games
309,Final Form Games
310,The Sleeping Machine
311,Messhof
312,Alientrap
313,Sparpweed
314,Peter Brinson and Kurosh ValaNejad
315,Games Farm
316,Colibri Games
317,Fish Factory Games
318,Kot in Action Creative Artel
319,IllFonic
320,Fire Hose Games
321,Murudai
322,TimeGate Studios
323,Krystian Majewski
324,Mode 7
325,Good Shepherd Entertainment
326,Immanitas Entertainment GmbH
327,Zeroscale
328,Gaslamp Games
329,Digital Dragon
330,Nicalis
331,Grey Havens
332,Mystic Box
333,Michael Brough
334,38 Studios
335,Robot Entertainment
336,Vanguard Games
337,Cobra Mobile
338,Jason Rohrer
339,Big Fat Alien
340,Geoff Keighley
341,DANKIE
342,Daedalic Entertainment
343,State of Play Games
344,Manic Game Studios
345,Xbox Game Studios
346,Re-Logic
347,Secret Base
348,Q-Games Ltd.
349,Supergiant Games
350,MinMax Games Ltd.
351,Zeboyd Games
352,Squid In A Box Ltd
353,Little Green Men Games
354,Days of Wonder
355,IndiePub
356,The Indie Stone
357,Remedy Entertainment
358,Endlessfluff Games
359,Pixelante Game Studios
360,Gearbox Publishing
361,Hazardous Software Inc.
362,White Rabbit Interactive
363,Pom Pom Games
364,PomPom Games
365,Total Eclipse
366,Total Eclipse P.C.
367,Owlchemy Labs
368,Nimble Giant Entertainment
369,NGD Studios
370,Spiderweb Software
371,Humble Games
372,Edmund McMillen
373,Little Orbit
374,D-Pad Studio
375,Eclipse Games
376,Interplay Entertainment Corp.
377,Deca Games
378,Unigine Corp.
379,Unigine LLC.
380,Bit Planet Games
381,Dark Artz Entertainment
382,Desert Owl Games LLC
383,Stardock Entertainment
384,Two Tribes
385,Ripstone
386,BANDAI NAMCO Entertainment
387,"""Charlies Games"""
388,Charlies Games
389,VivaMedia
390,Longbow Games
391,Hassey Enterprises
392,Kerberos
393,U.S. Army
394,Bootsnake Games
395,Secret Mode
396,Henteko Doujin
397,Eden Industries
398,Retro Affect
399,The Quantum Astrophysicists Guild
400,Blue Byte
401,The Behemoth
402,RichMakeGame
403,Rocket Bear Games
404,Focus Home Interactive
405,Vblank Entertainment
406,State of Play Games 
407,Brandon Brizzi
408,Black Pants Studio
409,Suspicious Developments
410,NIS America
411,DrinkBox Studios
412,Freebird Games
413,Standing Stone Games
414,Carbon Games
415,Kasedo Games
416,BlinkWorks Media
417,NAMCO BANDAI Games
418,tinyBuild
419,Tindalos Interactive
420,Almost Human Games
421,Codebrush Games
422,3 Sprockets 
423,XSEED Games
424,Nyu Media
425,Tribute Games Inc.
426,David Williamson
427,Joakim Sandberg
428,increpare games
429,Skybound Games
430,Misfits Attic
431,Big Robot Ltd
432,Just a Game
433,Empty Clip Studios
434,Dovetail Games - Trains 
435,Shovsoft
436,Puppy Punch Productions
437,Capcom Co. Ltd
438,Capcom U.S.A.
439,Curve Games
440,Curve Studios
441,Love Conquers All Games
442,Born Ready Games
443,Born Ready Games Ltd.
444,Pantera Entertainment
445,Data Realms
